agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,steps,seconds
richbc_tmp_rich_untrained2,v5,20004,0,a,1,-1,DONE,DONE,191,27.5
richbc_tmp_rich_untrained2,v5,20000,0,b,-1,1,DONE,DONE,146,29.3
richbc_tmp_rich_untrained2,v5,20001,1,b,-1,1,DONE,DONE,169,32.4
richbc_tmp_rich_untrained2,v5,20003,1,a,1,-1,DONE,DONE,162,33.6
richbc_tmp_rich_untrained2,v5,20005,1,a,1,-1,DONE,DONE,176,42.4
richbc_tmp_rich_untrained2,v5,20009,1,a,1,-1,DONE,DONE,184,28.7
richbc_tmp_rich_untrained2,v5,20007,1,b,-1,1,DONE,DONE,238,46.0
richbc_tmp_rich_untrained2,v5,20002,0,b,-1,1,DONE,DONE,427,83.7
richbc_tmp_rich_untrained2,v5,20008,0,b,-1,1,DONE,DONE,254,56.4
richbc_tmp_rich_untrained2,v5,20011,1,a,1,-1,DONE,DONE,221,35.8
richbc_tmp_rich_untrained2,v5,20006,0,tie,1,1,DONE,DONE,499,79.5
richbc_tmp_rich_untrained2,v5,20010,0,a,1,-1,DONE,DONE,252,65.6
richbc_tmp_rich_untrained2,v5,20015,1,a,1,-1,DONE,DONE,185,32.0
richbc_tmp_rich_untrained2,v5,20013,1,a,1,-1,DONE,DONE,235,53.3
richbc_tmp_rich_untrained2,v5,20012,0,a,1,-1,DONE,DONE,499,79.7
richbc_tmp_rich_untrained2,v5,20017,1,b,-1,1,DONE,DONE,256,61.3
richbc_tmp_rich_untrained2,v5,20014,0,b,-1,1,DONE,DONE,368,86.3
richbc_tmp_rich_untrained2,v5,20019,1,a,1,-1,DONE,DONE,196,49.7
richbc_tmp_rich_untrained2,v5,20016,0,b,-1,1,DONE,DONE,499,87.5
richbc_tmp_rich_untrained2,v5,20020,0,a,1,-1,DONE,DONE,194,50.8
richbc_tmp_rich_untrained2,v5,20018,0,tie,1,1,DONE,DONE,499,65.0
richbc_tmp_rich_untrained2,v5,20021,1,b,-1,1,DONE,DONE,235,50.0
richbc_tmp_rich_untrained2,v5,20024,0,b,-1,1,DONE,DONE,173,37.7
richbc_tmp_rich_untrained2,v5,20023,1,a,1,-1,DONE,DONE,259,62.9
richbc_tmp_rich_untrained2,v5,20026,0,b,-1,1,DONE,DONE,245,53.4
richbc_tmp_rich_untrained2,v5,20025,1,b,-1,1,DONE,DONE,217,49.8
richbc_tmp_rich_untrained2,v5,20022,0,tie,1,1,DONE,DONE,499,103.0
richbc_tmp_rich_untrained2,v5,20027,1,b,-1,1,DONE,DONE,194,44.6
richbc_tmp_rich_untrained2,v5,20030,0,b,-1,1,DONE,DONE,123,31.6
richbc_tmp_rich_untrained2,v5,20028,0,a,1,-1,DONE,DONE,235,54.4
richbc_tmp_rich_untrained2,v5,20031,1,b,-1,1,DONE,DONE,178,45.3
richbc_tmp_rich_untrained2,v5,20032,0,b,-1,1,DONE,DONE,112,25.4
richbc_tmp_rich_untrained2,v5,20033,1,a,1,-1,DONE,DONE,248,52.4
richbc_tmp_rich_untrained2,v5,20035,1,a,1,-1,DONE,DONE,175,42.9
richbc_tmp_rich_untrained2,v5,20037,1,a,1,-1,DONE,DONE,137,31.8
richbc_tmp_rich_untrained2,v5,20029,1,a,1,-1,DONE,DONE,401,93.9
richbc_tmp_rich_untrained2,v5,20034,0,a,1,-1,DONE,DONE,307,71.9
richbc_tmp_rich_untrained2,v5,20036,0,a,1,-1,DONE,DONE,218,54.1
richbc_tmp_rich_untrained2,v5,20038,0,b,-1,1,DONE,DONE,253,56.3
richbc_tmp_rich_untrained2,v5,20039,1,a,1,-1,DONE,DONE,253,56.5
richbc_tmp_rich_untrained2,v5,20043,1,b,-1,1,DONE,DONE,117,31.0
richbc_tmp_rich_untrained2,v5,20040,0,a,1,-1,DONE,DONE,241,58.5
richbc_tmp_rich_untrained2,v5,20041,1,a,1,-1,DONE,DONE,246,65.2
richbc_tmp_rich_untrained2,v5,20044,0,a,1,-1,DONE,DONE,129,36.8
richbc_tmp_rich_untrained2,v5,20042,0,b,-1,1,DONE,DONE,207,50.5
richbc_tmp_rich_untrained2,v5,20047,1,b,-1,1,DONE,DONE,164,42.9
richbc_tmp_rich_untrained2,v5,20046,0,b,-1,1,DONE,DONE,197,47.0
richbc_tmp_rich_untrained2,v5,20049,1,a,1,-1,DONE,DONE,170,47.9
richbc_tmp_rich_untrained2,v5,20050,0,b,-1,1,DONE,DONE,146,30.7
richbc_tmp_rich_untrained2,v5,20048,0,b,-1,1,DONE,DONE,225,58.0
richbc_tmp_rich_untrained2,v5,20045,1,b,-1,1,DONE,DONE,389,92.6
richbc_tmp_rich_untrained2,v5,20052,0,b,-1,1,DONE,DONE,174,42.9
richbc_tmp_rich_untrained2,v5,20053,1,b,-1,1,DONE,DONE,197,48.0
richbc_tmp_rich_untrained2,v5,20055,1,b,-1,1,DONE,DONE,187,56.9
richbc_tmp_rich_untrained2,v5,20057,1,b,-1,1,DONE,DONE,116,34.8
richbc_tmp_rich_untrained2,v5,20056,0,a,1,-1,DONE,DONE,180,49.8
richbc_tmp_rich_untrained2,v5,20058,0,a,1,-1,DONE,DONE,175,52.4
richbc_tmp_rich_untrained2,v5,20054,0,b,-1,1,DONE,DONE,385,107.0
richbc_tmp_rich_untrained2,v5,20060,0,a,1,-1,DONE,DONE,179,49.2
richbc_tmp_rich_untrained2,v5,20051,1,b,-1,1,DONE,DONE,499,142.9
richbc_tmp_rich_untrained2,v5,20059,1,a,1,-1,DONE,DONE,183,53.1
richbc_tmp_rich_untrained2,v5,20065,1,a,1,-1,DONE,DONE,141,37.6
richbc_tmp_rich_untrained2,v5,20063,1,a,1,-1,DONE,DONE,258,65.3
richbc_tmp_rich_untrained2,v5,20061,1,a,1,-1,DONE,DONE,450,108.1
richbc_tmp_rich_untrained2,v5,20064,0,b,-1,1,DONE,DONE,255,65.8
richbc_tmp_rich_untrained2,v5,20062,0,b,-1,1,DONE,DONE,412,101.1
richbc_tmp_rich_untrained2,v5,20066,0,b,-1,1,DONE,DONE,327,87.8
richbc_tmp_rich_untrained2,v5,20068,0,b,-1,1,DONE,DONE,254,65.6
richbc_tmp_rich_untrained2,v5,20069,1,b,-1,1,DONE,DONE,177,48.3
richbc_tmp_rich_untrained2,v5,20067,1,a,1,-1,DONE,DONE,309,77.4
richbc_tmp_rich_untrained2,v5,20073,1,a,1,-1,DONE,DONE,124,32.0
richbc_tmp_rich_untrained2,v5,20072,0,b,-1,1,DONE,DONE,209,54.4
richbc_tmp_rich_untrained2,v5,20075,1,a,1,-1,DONE,DONE,185,50.0
richbc_tmp_rich_untrained2,v5,20074,0,a,1,-1,DONE,DONE,214,50.3
richbc_tmp_rich_untrained2,v5,20071,1,tie,1,1,DONE,DONE,499,106.7
richbc_tmp_rich_untrained2,v5,20070,0,b,-1,1,DONE,DONE,499,132.0
richbc_tmp_rich_untrained2,v5,20079,1,a,1,-1,DONE,DONE,170,45.0
richbc_tmp_rich_untrained2,v5,20076,0,b,-1,1,DONE,DONE,312,84.1
richbc_tmp_rich_untrained2,v5,20078,0,b,-1,1,DONE,DONE,185,47.1
richbc_tmp_rich_untrained2,v5,20080,0,b,-1,1,DONE,DONE,188,46.7
richbc_tmp_rich_untrained2,v5,20081,1,a,1,-1,DONE,DONE,163,38.7
richbc_tmp_rich_untrained2,v5,20082,0,a,1,-1,DONE,DONE,185,46.4
richbc_tmp_rich_untrained2,v5,20077,1,tie,1,1,DONE,DONE,499,118.0
richbc_tmp_rich_untrained2,v5,20084,0,b,-1,1,DONE,DONE,212,47.6
richbc_tmp_rich_untrained2,v5,20085,1,a,1,-1,DONE,DONE,202,54.8
richbc_tmp_rich_untrained2,v5,20083,1,b,-1,1,DONE,DONE,265,68.4
richbc_tmp_rich_untrained2,v5,20086,0,a,1,-1,DONE,DONE,332,76.3
richbc_tmp_rich_untrained2,v5,20089,1,b,-1,1,DONE,DONE,200,52.5
richbc_tmp_rich_untrained2,v5,20087,1,b,-1,1,DONE,DONE,404,95.1
richbc_tmp_rich_untrained2,v5,20091,1,b,-1,1,DONE,DONE,196,47.0
richbc_tmp_rich_untrained2,v5,20092,0,b,-1,1,DONE,DONE,169,46.2
richbc_tmp_rich_untrained2,v5,20094,0,b,-1,1,DONE,DONE,140,37.8
richbc_tmp_rich_untrained2,v5,20088,0,tie,1,1,DONE,DONE,499,126.3
richbc_tmp_rich_untrained2,v5,20090,0,tie,1,1,DONE,DONE,499,110.3
richbc_tmp_rich_untrained2,v5,20093,1,a,1,-1,DONE,DONE,424,96.0
richbc_tmp_rich_untrained2,v5,20095,1,b,-1,1,DONE,DONE,238,64.5
richbc_tmp_rich_untrained2,v5,20097,1,b,-1,1,DONE,DONE,180,52.2
richbc_tmp_rich_untrained2,v5,20098,0,b,-1,1,DONE,DONE,176,48.5
richbc_tmp_rich_untrained2,v5,20099,1,a,1,-1,DONE,DONE,180,53.4
richbc_tmp_rich_untrained2,v5,20101,1,b,-1,1,DONE,DONE,172,44.2
richbc_tmp_rich_untrained2,v5,20100,0,a,1,-1,DONE,DONE,147,40.3
richbc_tmp_rich_untrained2,v5,20096,0,b,-1,1,DONE,DONE,499,133.8
richbc_tmp_rich_untrained2,v5,20102,0,b,-1,1,DONE,DONE,226,65.2
richbc_tmp_rich_untrained2,v5,20105,1,a,1,-1,DONE,DONE,163,43.9
richbc_tmp_rich_untrained2,v5,20104,0,a,1,-1,DONE,DONE,204,60.1
richbc_tmp_rich_untrained2,v5,20106,0,b,-1,1,DONE,DONE,155,47.7
richbc_tmp_rich_untrained2,v5,20111,1,b,-1,1,DONE,DONE,140,41.7
richbc_tmp_rich_untrained2,v5,20107,1,a,1,-1,DONE,DONE,286,81.4
richbc_tmp_rich_untrained2,v5,20108,0,b,-1,1,DONE,DONE,212,62.1
richbc_tmp_rich_untrained2,v5,20103,1,tie,1,1,DONE,DONE,499,135.0
richbc_tmp_rich_untrained2,v5,20109,1,a,1,-1,DONE,DONE,281,80.2
richbc_tmp_rich_untrained2,v5,20112,0,a,1,-1,DONE,DONE,219,61.1
richbc_tmp_rich_untrained2,v5,20113,1,a,1,-1,DONE,DONE,234,70.3
richbc_tmp_rich_untrained2,v5,20110,0,b,-1,1,DONE,DONE,499,144.6
richbc_tmp_rich_untrained2,v5,20116,0,b,-1,1,DONE,DONE,185,57.7
richbc_tmp_rich_untrained2,v5,20117,1,b,-1,1,DONE,DONE,180,48.1
richbc_tmp_rich_untrained2,v5,20114,0,tie,1,1,DONE,DONE,499,119.0
richbc_tmp_rich_untrained2,v5,20115,1,tie,1,1,DONE,DONE,499,119.8
richbc_tmp_rich_untrained2,v5,20119,1,a,1,-1,DONE,DONE,149,31.0
richbc_tmp_rich_untrained2,v5,20118,0,b,-1,1,DONE,DONE,304,54.1
